X,y
nan,-0.7782
nan,-1.1538
nan,0.5414
nan,1.8913
nan,1.035
nan,0.641
nan,-0.4785
nan,-1.1041
nan,0.4754
nan,0.318
nan,-0.5534
nan,-0.1579
nan,1.1173
nan,-1.183
nan,1.1971
nan,-0.8703
nan,0.3175
nan,-1.7161
nan,-0.6202
nan,0.86
nan,0.7087
nan,1.0342
nan,-1.4118
nan,-0.546
nan,-1.7625
nan,1.3986
nan,-1.3793
nan,-0.6849
nan,-0.4545
nan,-2.439
nan,-1.1687
nan,-1.1552
nan,-3.0791
0.2156302723917537,0.3511
0.2317287797858279,0.494
0.217897086798095,2.8302
0.14775131453087276,0.6574
0.08154267126782822,-1.2266
0.05207938660973821,-1.3523
0.04925135986719664,0.214
0.03630332138534942,-0.5674
0.031070357976659913,-0.3534
0.0271897659052176,5.3611
-0.07054905716524729,-1.25
-0.11192057121734078,-0.5121
-0.12800550033126712,-2.0774
-0.09979947185162269,1.013
-0.09859663083815384,-1.1445
-0.07672955365198275,-1.0616
-0.04411091216651847,0.641
-0.03638479378695442,-1.1963
-0.011979990259523843,1.5
-0.026067542816766265,-2.2346
0.0031372721827920835,-1.9178
0.05293494754486067,-0.6803
0.090258273097099,-1.9346
0.1415821996092818,-1.0561
0.18228537267360656,0.1322
0.19105715948666813,0.2651
0.17639401935700605,-0.1324
0.15500149671510477,0.9352
0.10990258581402579,-0.7294
0.08372623110684885,0.8696
0.04017357948190281,1.9087
-0.031109700394601147,0.0
-0.08044935430305833,1.5928
-0.14246400156365902,-2.4324
-0.13392710512880246,1.2312
-0.14990424395002955,0.9669
-0.1749896096751805,1.1173
-0.206617297507164,3.9942
-0.28981782249781785,4.6353
-0.4079695414249258,0.9977
-0.479848277223992,-0.8371
-0.4873229267086196,0.2288
-0.4707472677030833,2.6625
-0.4783634006720717,-1.6179
-0.42962216289617133,0.2317
-0.37769725918421615,0.4655
-0.3294605237991965,1.0188
-0.29423273253122506,-2.1472
-0.21609492154488485,-2.2489
-0.11211340148814875,1.8321
-0.06594867524830383,-0.9826
-0.011133191215668248,-0.0755
0.030960288221557275,0.9916
0.044954277198890336,-4.3066
0.13229842246286272,2.5449
0.14215773764975803,1.597
0.11918504165532606,-2.0849
0.1390534426327255,-0.7391
0.16146077652066176,4.8837
0.0908110961336398,-1.5267
0.0711943621307401,0.5372
0.04999099718212019,0.3079
0.03261720381489186,9.9915
-0.12694697806205962,-2.9581
-0.17052286898669577,3.3985
-0.23568393057014192,-0.423
-0.253011062226831,0.0
-0.24525106467377078,3.1414
-0.2675469478084318,-1.1217
-0.24438348203235927,-0.8554
-0.1972118714212454,-1.0998
-0.13318762089140634,-1.582
-0.05399683846563785,0.5021
-0.001228821607075048,4.5494
-0.026484475261818297,5.1518
-0.10436486273075707,-0.1837
-0.13689591053983796,0.3687
-0.14664229337084522,-0.2757
-0.13232967915934135,0.5545
-0.11487144144899597,3.6398
-0.1369325124927614,-1.7874
-0.10955296666345204,-0.3749
-0.07151336754175608,3.1915
-0.07584303384991342,-0.7678
-0.054004477375348525,-2.4345
0.00618623759314052,0.1876
0.051511471301626255,0.0939
0.08630209692523638,0.2825
0.10991682361974164,-4.2381
0.18885131268130184,-0.9821
0.2519454519686386,-0.7972
0.2986769405791835,-1.6551
0.34478499815203456,0.0
0.36305006304599274,-0.4337
0.36846018711273065,1.6755
0.33405861170457773,-2.2414
0.3331792560941718,1.0453
0.3040982402645179,0.0872
0.27221168997234824,-3.125
0.2881176129318047,-0.1686
0.2878175518989433,-2.0644
0.30607492491543903,-0.3292
0.30750639986016404,1.25
0.2733657122000686,-2.3596
0.27425398324169253,0.0
0.2594126689703632,-1.1263
0.2527677097055793,0.7293
0.2216767255514554,-1.8298
0.21723065576786593,0.0796
0.1985910867604886,-3.3846
0.22901487379472268,2.121
0.19745395402682853,-1.6988
0.19078717829380876,1.8082
0.1422029880536877,2.9126
0.05297609163111716,0.2433
-0.015048967686986603,-1.36
-0.04065800667299069,-0.5569
-0.05100978364321218,0.4796
-0.06773214475133171,-0.793
-0.06699497206800387,-1.098
-0.05009506503906214,2.1635
-0.07616656931959409,0.4831
-0.10082815719854216,-1.5067
-0.09117476600740337,-0.0792
-0.08328589083838389,1.7742
-0.10608269509314527,0.4862
-0.1262542990504152,-1.28
-0.11535562870579424,-0.5569
-0.09677825335218715,2.6122
-0.12391890488832014,-1.2097
-0.11802112410971277,2.2259
-0.14506235333123102,0.1652
-0.1590922015742902,-2.1809
-0.12685454274418115,0.2429
-0.10530863792595022,2.4046
-0.12453868613745447,-0.495
-0.12336211842741023,-0.6557
-0.10662288680450847,-0.8936
-0.07693470743761821,1.2336
-0.07369646504154927,1.0806
-0.08448561449779597,-1.876
-0.05736006052560916,-1.2882
-0.016695995867734306,-2.0505
0.043123641033967236,-1.5528
0.10405737851788957,0.7037
0.12524379014805864,-0.9295
0.1469246595811543,0.702
0.14064063190678117,0.0781
0.12704843703941768,0.2347
0.1361019805635588,-2.8379
0.18153897360042165,-0.2235
0.20231242623148676,0.224
0.19841904481332345,1.1329
0.16350059868228983,-0.9723
0.14633194867910737,-4.2949
0.20084359361959125,-3.1207
0.27782241607547997,-0.2766
0.3118841969255638,-0.5502
0.3216553970748711,0.8322
0.2894293348666682,-0.7571
0.2612659938715155,-2.5486
0.27099150774377323,-0.2008
0.2586651977748122,0.134
0.22619208237675403,-0.4005
0.19248892046612598,2.3224
0.10828872318346638,0.0684
0.0387247135205282,0.9662
-0.03469980803643158,1.8271
-0.12193213799418978,0.2113
-0.1836120433064794,0.8523
-0.2371115102330016,-2.0181
-0.22980820393918466,0.2092
-0.22509726893604165,-0.7612
-0.20387615097539147,0.0693
-0.18827077889595367,-2.0353
-0.13700725197303043,4.3909
-0.18319342670530636,1.5097
-0.2352900164527807,-2.8631
-0.20868998000195327,-0.2091
-0.18218461487666693,1.3418
-0.18479257757795914,0.0
-0.18083960607685057,-0.0706
-0.17129306617500428,1.5771
-0.18770674364388978,-0.9233
-0.17443116625897503,-0.565
-0.14922706894996213,0.5682
-0.1379491797524112,-0.7052
-0.11270240143402091,-0.0705
-0.09125397935625029,-1.3899
-0.04885195737184414,-0.0694
-0.019678776934531433,-2.8995
0.0533252036034485,-1.265
0.11922047454250914,2.736
0.10162923600431698,-0.8814
0.100047521003307,0.2719
0.08665714754921422,2.0819
0.033184587526295495,-1.3689
0.021134437697534036,1.5994
-0.019252618756964934,-1.7088
-0.01397470615086388,0.2742
-0.017333945798156003,0.2749
-0.025891180690233995,-2.7406
0.020237074073418182,-2.3499
0.09179512432504333,0.0
0.1293829493948162,-2.1086
0.1855332473387502,0.0
0.20783212674226398,6.2458
0.08984645679111003,-0.8081
0.022654114276470627,-7.5342
0.1298912518388337,1.5813
0.1541922347942138,-0.2524
0.16189935458785754,0.253
0.1482219149445212,-0.566
0.13811280650090485,-3.1669
0.185338598694905,2.3691
0.150730923283254,1.519
0.08417120680538959,-0.7538
0.04683061488473417,-0.81
0.030931076530689605,-2.1341
0.05731312905580621,0.7371
0.048694240812849454,-0.6711
0.04783439858860228,4.0635
-0.04395266930562791,2.4057
-0.15335781553619032,1.1177
-0.24219383445390374,3.6104
-0.358877301074216,-1.1448
-0.3967355851601952,-0.8678
-0.387404350565866,-1.4474
-0.33661464626331095,1.3333
-0.315341681211729,-1.1858
-0.26446424855838446,4.0439
-0.2953748228692331,-0.7483
-0.28591020386418653,1.7301
-0.2969324175627628,0.9783
-0.3055009233826196,4.6053
-0.3739273294889379,-5.5901
-0.29163735492702064,-2.7517
-0.16958447975118657,2.2649
-0.12307082724919649,5.2746
-0.17711564631614674,-3.2844
-0.13778937305667455,-2.7853
